Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, hand, head, mind
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, read, writer
Topic 1487 (0.00): government, billion, country, money, people, past, economy, world, economic, ago
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, summit, minister
Topic 953 (0.00): public, criticism, political, attack, critics, support, view, views, press, issue
Topic 847 (0.00): told, time, home, morning, day, night, phone, evening, rang, left
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, announced, debt, deficit
Topic 150 (0.00): car, road, drove, drive, driver, driving, seat, cars, front, parked
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, lunch
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 776 (0.00): success, experience, world, ability, time, career, successful, people, life, hard
Topic 112 (0.00): support, accept, position, prepared, question, refused, power, accepted, pressure, decision
Topic 1035 (0.00): furniture, table, house, walls, floor, chairs, wall, kitchen, white, glass
Topic 494 (0.00): government, national, president, political, opposition, assembly, party, elections, parties, democratic
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 266 (0.00): time, start, people, easy, difficult, decide, remember, job, worth, lot
Topic 584 (0.00): foreign, minister, visit, relations, government, talks, president, reported, countries, agreement
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 272 (0.00): road, valley, loch, mountains, miles, hills, mountain, north, lake, south
Topic 383 (0.00): people, feel, bad, life, wrong, told, time, stupid, hate, understand
Topic 721 (0.00): path, trees, ground, track, grass, left, road, yards, time, looked
Topic 82 (0.00): government, forces, troops, fighting, peace, army, military, ceasefire, reported, border
Topic 1343 (0.00): development, major, period, growth, developed, developments, led, process, late, expansion
Topic 1402 (0.00): head, hand, takes, eyes, feel, hands, sits, sit, tells, makes
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, shadow, sky, torch
Topic 343 (0.00): business, market, company, sales, growth, future, major, markets, development, increased
Topic 778 (0.00): book, published, books, guide, author, volume, history, written, information, edition
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 485 (0.00): talk, told, people, time, heard, conversation, talking, found, talked, spoke
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, election, cabinet
Topic 595 (0.00): money, pay, paid, people, buy, business, cash, pounds, spent, rich
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, eyes, king, chamber
Topic 221 (0.00): holiday, town, village, resort, beach, restaurants, day, lake, visit, beautiful
Topic 609 (0.00): history, historical, cultural, discourse, narrative, form, process, sense, forms, meaning
Topic 229 (0.00): method, advantages, cost, required, methods, difficult, provide, advantage, effective, means
Topic 258 (0.00): evil, life, death, sin, human, god, true, truth, moral, guilt
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 745 (0.00): hospital, doctor, home, ill, day, told, days, time, doctors, life
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, political
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, team
Topic 1146 (0.00): food, fresh, cooking, sauce, meat, fish, dishes, flavour, dish, wine
Topic 1178 (0.00): cent, recession, inflation, rates, economy, growth, rate, economic, recovery, rise
Topic 996 (0.00): decline, war, led, crisis, remained, period, lost, time, collapse, continued
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, figures, total, rate, half
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, home
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, people, table
Topic 423 (0.00): matter, mind, reason, understand, question, truth, doubt, suppose, surely, simply
Topic 977 (0.00): companies, industry, firms, market, technology, business, investment, markets, industries, world
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, effectiveness
Topic 58 (0.00): crowd, people, audience, day, front, stood, standing, round, applause, stage
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, socialism
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, assessment
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, sculpture, catalogue
Topic 1414 (0.00): life, time, home, people, friends, day, family, enjoy, feel, children
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, heart, faith
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, recordings, playing, composer, sound
Topic 956 (0.00): army, battle, soldiers, enemy, horse, miles, king, horses, troops, left
Topic 815 (0.00): rugby, players, world, cup, game, tour, south, team, international, coach
Topic 386 (0.00): company, bid, business, companies, deal, stake, cent, market, shares, chairman
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, justice, held, lord
Topic 941 (0.00): house, door, garden, front, gate, windows, stone, wall, window, road
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, management
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, fans, season
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, report, official, newspaper
Topic 1109 (0.00): job, time, career, life, months, school, people, decided, found, left
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, shown, effect, response, increased
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, metal, edge, remove, wall
Topic 1372 (0.00): women, male, female, woman, feminist, feminism, gender, feminists, sex, sexual
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, management
Topic 553 (0.00): mother, daughter, girl, parents, father, family, home, child, told, mum
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, house, madam, father, gentleman
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, labour, capital, economic, relations
Topic 1001 (0.00): world, people, human, country, life, society, live, power, lives, future
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, national
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, subject, duty, provision, persons
Topic 762 (0.00): research, science, technology, department, university, centre, programme, development, institute, industry
Topic 1129 (0.00): social, society, people, life, sociology, individual, behaviour, individuals, societies, relations
Topic 1108 (0.00): solution, difficulties, difficult, situation, future, difficulty, task, alternative, question, remain
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, pond, filtration
Topic 436 (0.00): village, house, church, built, century, houses, manor, building, hall, road
Topic 675 (0.00): proposals, proposed, proposal, consultation, council, document, paper, review, draft, committee
Topic 617 (0.00): college, university, oxford, professor, school, students, royal, lecturer, academic, veterinary
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, spring, summer, white
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, election, thatcher
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, chronic, liver, found
Topic 924 (0.00): charges, court, trial, investigation, government, scandal, corruption, arrested, alleged, prison
Topic 45 (0.00): military, army, coup, government, president, forces, officers, armed, country, attempt
Topic 808 (0.00): time, smiled, love, looked, told, laughed, happy, meet, kissed, day
Topic 21 (0.00): funding, money, funds, support, grant, fund, government, financial, grants, council
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, period, increases, decline, rates
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, political, common, countries
Topic 1302 (0.00): chapter, section, chapters, book, discussed, discussion, analysis, main, study, detail
Topic 334 (0.00): local, government, authorities, councils, services, authority, central, council, county, district
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1163 (0.00): windows, program, screen, files, file, dos, version, package, software, disk
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, journal
Topic 756 (0.00): war, world, military, gulf, civil, country, army, fighting, battle, wars
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, product, marketing
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, judge
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, receiver, time, office
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, poured
Topic 1200 (0.00): teachers, schools, teacher, teaching, curriculum, school, education, classroom, development, educational
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 505 (0.00): friends, friend, life, met, time, found, home, friendship, girls, house
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, house, fine, square, century
Topic 322 (0.00): race, horse, won, racing, jockey, trainer, winner, cup, run, national
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, power, rule, western
Topic 186 (0.00): tax, income, taxes, taxation, rate, government, revenue, budget, cent, vat
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, assembly, elections
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, people, life, shot, murdered
Topic 686 (0.00): major, minister, thatcher, prime, john, party, government, labour, election, cabinet
Topic 631 (0.00): museum, art, collection, gallery, museums, national, collections, paintings, arts, exhibition
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, question, political, concern, policy
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, plays, drama, audience
Topic 920 (0.00): policy, policies, government, political, social, economic, public, implementation, governments, issues
Topic 1186 (0.00): church, catholic, religious, roman, bishops, pope, churches, christian, council, archbishop
Topic 1199 (0.00): law, legal, laws, courts, legislation, common, act, criminal, rules, principles
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, teachers
Topic 1463 (0.00): army, officer, military, war, regiment, soldiers, officers, soldier, training, captain
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, subject
Topic 960 (0.00): boat, deck, water, boats, crew, yacht, ship, sea, sailing, cabin
Topic 612 (0.00): women, children, woman, married, wives, family, home, mothers, husbands, employment
Topic 722 (0.00): fear, feelings, anger, life, feel, people, emotions, emotional, feeling, love
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, home
Topic 61 (0.00): differences, structure, pattern, features, similar, common, patterns, structures, individual, variations
Topic 699 (0.00): research, study, studies, social, data, methods, project, researchers, researcher, observation
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, city, cent
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, corpus
Topic 1266 (0.00): money, raised, charity, raise, fund, appeal, people, local, support, funds
Topic 802 (0.00): press, daily, paper, newspaper, news, newspapers, papers, times, editor, story
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, eating
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, cut, financial
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, send, hope, read
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessels, shipping
Topic 483 (0.00): school, children, pupils, schools, teachers, teacher, parents, education, primary, pupil
Topic 96 (0.00): people, person, life, counselling, counsellor, feelings, social, feel, family, loss
Topic 930 (0.00): president, bush, house, congress, senate, administration, republican, campaign, white, presidential
Topic 823 (0.00): birds, bird, species, nest, food, wings, feathers, fly, breeding, owl
Topic 200 (0.00): police, night, home, attack, car, officers, house, yesterday, people, arrested
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 1398 (0.00): hotel, bar, beach, pool, bedrooms, breakfast, night, restaurant, terrace, single
Topic 327 (0.00): sea, beach, coast, water, bay, sand, island, shore, tide, boat
Topic 1281 (0.00): form, information, details, application, office, date, required, certificate, copy, address
Topic 70 (0.00): party, labour, national, communist, conference, movement, policy, government, left, parties
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, stock, rose, trading
Topic 374 (0.00): army, war, troops, attack, enemy, forces, battle, allied, front, armies
Topic 601 (0.00): view, opinion, views, expressed, attitude, public, opinions, attitudes, concern, people
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, thatcher, sir
Topic 1195 (0.00): killed, government, police, security, people, army, attack, claimed, attacks, forces
Topic 881 (0.00): life, experience, spiritual, human, god, love, world, mind, sense, nature
Topic 1430 (0.00): rights, human, amnesty, prisoners, government, international, political, prison, torture, released
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, won, par, tournament
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, democratic, system
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, dirty, bed, bath, hot
Topic 243 (0.00): benefit, income, benefits, social, security, support, people, allowance, supplementary, insurance
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 967 (0.00): staff, department, management, manager, personnel, training, job, senior, responsibility, service
Topic 74 (0.00): failure, lack, poor, failed, inadequate, result, failures, difficult, reasons, due
Topic 715 (0.00): people, person, lot, lives, live, understand, feel, life, time, world
Topic 877 (0.00): beauty, beautiful, world, mind, life, eyes, joy, dream, light, love
Topic 1157 (0.00): countries, world, international, development, global, developing, economic, country, aid, nations
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, serve, chopped, salt, heat
Topic 1059 (0.00): site, sites, roman, evidence, archaeological, buildings, settlement, excavation, remains, found
Topic 109 (0.00): police, body, found, murder, inspector, death, detective, dead, sergeant, missing
Topic 517 (0.00): data, values, analysis, distribution, table, calculated, test, standard, results, significant
Topic 50 (0.00): engine, power, rear, rover, front, range, fitted, steering, speed, wheel
Topic 728 (0.00): house, home, flat, live, living, cottage, people, lived, couple, moved
Topic 1264 (0.00): paper, read, written, writing, write, letter, pen, letters, notes, book
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, children, unemployment, housing
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, managing, manager, board, management
Topic 1166 (0.00): knowledge, experience, understanding, skills, understand, ability, people, technical, skill, learn
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 240 (0.00): desk, office, door, chair, sat, morning, looked, floor, papers, corridor
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, offer, bought, buying
Topic 130 (0.00): management, managers, manager, people, business, company, profit, job, employees, senior
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, trials, months, weeks, disease
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, compared, percentage, data
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, body, officers, board, representatives
Topic 1219 (0.00): health, care, services, patients, service, practitioners, authorities, practice, practices, hospital
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, office
Topic 84 (0.00): range, design, designed, designs, wide, choice, prices, price, products, sizes
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, limited, director, management, employees
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, landing, airport, runway
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, private, house
Topic 541 (0.00): countryside, national, conservation, nature, wildlife, trust, environment, environmental, land, natural
Topic 693 (0.00): factors, factor, influence, conditions, individual, environment, degree, importance, nature, affect
Topic 1394 (0.00): minister, affairs, cabinet, prime, ministers, foreign, deputy, education, defence, national
Topic 86 (0.00): colour, red, blue, colours, white, green, yellow, black, dark, light
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, waiting, time, flight
Topic 774 (0.00): century, land, local, poor, parish, population, wealth, labourers, rural, towns
Topic 403 (0.00): culture, cultural, world, society, cultures, modern, values, western, social, people
Topic 1164 (0.00): conference, held, international, seminar, delegates, details, meeting, university, institute, conferences
Topic 859 (0.00): tears, life, pain, death, grief, cry, feeling, anger, crying, suffering
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, acute, cardiac, coronary, failure
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, sell, customer
Topic 1073 (0.00): peasants, peasant, government, tsar, land, peasantry, reform, political, local, nobility
Topic 1241 (0.00): strike, union, workers, unions, action, industrial, trade, strikes, dispute, government
Topic 571 (0.00): oxford, people, reports, pounds, hundred, thousand, ago, home, john, tonight
Topic 439 (0.00): west, land, colonial, century, people, colonies, population, south, trade, peoples
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, food
Topic 486 (0.00): television, programme, news, radio, programmes, people, series, viewers, coverage, live
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, buildings, columns, architecture
Topic 629 (0.00): money, week, pay, paid, day, job, cost, buy, food, home
Topic 1047 (0.00): job, career, jobs, recruitment, training, people, employment, experience, qualifications, employers
Topic 1043 (0.00): demand, money, rate, supply, curve, real, wage, level, unemployment, labour
Topic 416 (0.00): gene, expression, genes, sequence, human, sequences, protein, cells, shown, fragment
Topic 719 (0.00): people, person, feel, talk, talking, time, listen, listening, difficult, situation
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, services, caring
Topic 680 (0.00): political, power, bureaucracy, elite, government, society, control, public, elites, bureaucratic
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, form, water
Topic 310 (0.00): building, floor, roof, space, main, buildings, windows, entrance, ground, wall
Topic 222 (0.00): god, ghost, fairy, world, evil, story, woman, earth, legend, children
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, character, writing
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 102 (0.00): community, local, people, education, communities, social, development, participation, action, support
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, monetary, foreign, countries
Topic 1095 (0.00): film, films, cinema, production, movies, director, television, screen, audience, movie
Topic 1345 (0.00): moral, society, morality, ethical, human, values, ethics, principles, view, morally
Topic 388 (0.00): modules, national, certificate, centres, development, courses, qualifications, assessment, awards, vocational
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, courses
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, strings, playing, guitarist
Topic 970 (0.00): business, businesses, companies, company, commercial, industry, enterprise, trade, management, firms
Topic 1107 (0.00): gun, shot, fire, fired, guns, shooting, hit, shoot, rifle, bullets
Topic 1039 (0.00): environmental, pollution, environment, air, emissions, sulphur, dioxide, carbon, acid, rain
Topic 984 (0.00): language, languages, linguistic, learning, foreign, spoken, knowledge, written, teaching, standard
Topic 954 (0.00): purchaser, vendor, sale, business, information, completion, agreement, mas, client, letter
Topic 950 (0.00): computer, software, computers, program, programs, machine, data, information, machines, system
Topic 1392 (0.00): growth, productivity, rate, output, labour, prices, investment, increase, capital, cent
Topic 108 (0.00): council, county, local, councillors, town, councillor, district, borough, committee, people
Topic 314 (0.00): cost, marginal, market, costs, price, firm, firms, output, social, prices
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, centre, concert, events, programme
Topic 771 (0.00): aids, virus, infection, disease, infected, hepatitis, diseases, blood, people, risk
Topic 1082 (0.00): cells, samples, minutes, buffer, antibody, solution, serum, cell, sections, added
Topic 451 (0.00): intelligence, maxim, secret, agents, security, service, operation, information, agent, government
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 414 (0.00): bank, banks, money, market, deposits, bills, rates, discount, assets, financial
Topic 598 (0.00): library, libraries, books, stock, public, librarians, librarian, book, collection, collections
Topic 1053 (0.00): science, scientific, scientists, research, scientist, world, knowledge, chemistry, sciences, physics
Topic 392 (0.00): race, racing, team, world, championship, car, grand, season, formula, driver
Topic 1284 (0.00): god, christian, theology, bible, human, history, testament, religion, church, faith
Topic 256 (0.00): courts, decision, court, law, judicial, review, jurisdiction, lord, power, justice
Topic 793 (0.00): courses, sessions, contact, day, training, centre, local, information, workshop, school
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, politburo, secretary, people
Topic 250 (0.00): railway, steam, line, train, locomotive, station, class, trains, locomotives, railways
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, schizophrenia, psychiatric, psychological, physical, loss
Topic 498 (0.00): site, development, planning, council, plans, local, building, land, build, scheme
Topic 1104 (0.00): education, training, compact, development, enterprise, industry, partnership, employers, students, experience
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, price, details, tour, brochure
Topic 78 (0.00): music, song, singing, songs, sing, played, play, playing, piano, sang
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
Topic 616 (0.00): rock, soils, erosion, surface, sea, sand, water, weathering, soil, rocks
Topic 462 (0.00): train, station, railway, platform, trains, car, passengers, journey, line, carriage
Topic 97 (0.00): experience, consciousness, mental, mind, perception, world, physical, sense, objects, conscious
Topic 354 (0.00): political, party, politics, parties, government, system, power, support, politicians, public
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, fields, grown
Topic 1155 (0.00): systems, design, system, development, techniques, computer, expert, analysis, technology, engineering
Topic 7 (0.00): approach, strategy, approaches, process, model, strategies, adopted, potential, development, based
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, text, writing, study, studies
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, prosecution, defence, witnesses, defendant
Topic 813 (0.00): knitting, knit, machine, stitches, yarn, needles, rows, stitch, row, pattern
Topic 1170 (0.00): medical, doctors, doctor, medicine, treatment, patients, health, clinical, practice, patient
Topic 1375 (0.00): legs, arms, body, leg, head, feet, left, hands, arm, front
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, lake, banks, tide, mud
Topic 1188 (0.00): street, road, house, lane, park, shop, town, west, square, green
Topic 1376 (0.00): court, plaintiff, defendant, action, proceedings, defendants, application, party, judgment, claim
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, increase, figure, figures
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, people, cultural
Topic 581 (0.00): father, mother, son, family, daughter, boy, child, parents, children, brother
Topic 826 (0.00): pain, leg, injury, wound, injuries, broken, knee, blood, ankle, left
Topic 1184 (0.00): town, towns, market, country, local, centre, city, houses, streets, villages
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, mug, kettle, sat, drink
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 1037 (0.00): community, directive, commission, national, legislation, market, council, article, law, treaty
Topic 630 (0.00): assets, profit, accounts, account, accounting, net, balance, loss, company, cost
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, accountants, accounting, report
Topic 1204 (0.00): genes, genetic, selection, gene, evolution, natural, generation, individual, species, evolutionary
Topic 381 (0.00): museum, centre, exhibition, visitors, history, visit, shop, collection, display, park
Topic 1154 (0.00): pope, king, church, papal, archbishop, bishop, bishops, royal, clergy, innocent
Topic 834 (0.00): act, legislation, protection, regulation, public, regulations, law, government, powers, regulatory
Topic 513 (0.00): species, plants, plant, vegetation, forest, seeds, tropical, trees, animals, found
Topic 1075 (0.00): oil, gas, production, north, sea, exploration, offshore, field, companies, petroleum
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, fighter, engine, world
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, rate, act, inland, paid
Topic 613 (0.00): north, south, west, east, northern, southern, region, country, eastern, central
Topic 90 (0.00): planning, development, land, local, permission, authorities, town, authority, control, act
Topic 95 (0.00): binding, protein, promoter, transcription, sites, figure, site, proteins, sequence, lanes
Topic 1309 (0.00): defence, military, forces, army, armed, force, air, troops, ministry, service
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, accident, policyholder
Topic 153 (0.00): horse, horses, riding, ride, mare, rider, stable, saddle, pony, foal
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, consumption, efficiency, nuclear
Topic 396 (0.00): vote, referendum, majority, votes, voted, resolution, assembly, approved, constitutional, parliament
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, prizes
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, action, liable, person
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, news, station, broadcast, stations
Topic 1182 (0.00): car, cars, motor, rover, ford, company, model, production, manufacturers, engine
Topic 1224 (0.00): history, historical, historians, evidence, sources, past, historian, material, documents, written
Topic 247 (0.00): change, process, changing, changed, time, major, altered, structure, result, system
Topic 681 (0.00): dog, dogs, puppy, pet, owner, owners, rottweiler, bitch, vet, home
Topic 1496 (0.00): fire, smoke, flames, burning, fires, burn, set, flame, brigade, water
Topic 275 (0.00): advice, information, local, bureau, service, services, cab, contact, bureaux, office
Topic 743 (0.00): tennis, world, players, game, match, champion, player, tournament, play, final
Topic 1136 (0.00): chemical, products, chemicals, industry, plant, company, business, production, materials, process
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, reactors, station, plutonium, energy, stations
Topic 166 (0.00): words, word, meaning, language, meanings, means, phrase, sentence, dictionary, sense
Topic 575 (0.00): legal, law, solicitors, solicitor, aid, society, advice, lawyers, profession, services
