Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, head, hand, told
Topic 1129 (0.00): social, society, people, sociology, individual, behaviour, life, individuals, relations, societies
Topic 675 (0.00): proposals, proposed, consultation, council, proposal, document, paper, review, draft, report
Topic 602 (0.00): party, cent, elections, seats, election, won, vote, democratic, parties, candidates
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, tanks, filtration
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, social, thatcher
Topic 1001 (0.00): world, people, human, country, life, live, society, power, hope, lives
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, portrait, painted, paint
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, change, increases, effect, period
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, academic, royal, student
Topic 762 (0.00): research, science, department, university, technology, centre, programme, development, institute, international
Topic 756 (0.00): war, world, military, country, gulf, army, civil, wars, soldiers, fighting
Topic 1108 (0.00): solution, difficulties, difficult, situation, future, difficulty, alternative, task, remain, potential
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, chronic, serum, intestinal
Topic 1302 (0.00): chapter, section, discussed, book, chapters, discussion, analysis, main, detail, study
Topic 924 (0.00): charges, court, trial, government, investigation, scandal, corruption, alleged, arrested, public
Topic 45 (0.00): military, army, government, coup, forces, president, officers, armed, attempt, country
Topic 21 (0.00): funding, money, funds, grant, fund, support, government, grants, financial, council
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, summer, spring, white
Topic 334 (0.00): local, government, authorities, councils, services, authority, central, council, county, district
Topic 652 (0.00): magazine, article, issue, readers, read, editor, articles, letter, page, journal
Topic 1163 (0.00): windows, program, screen, file, files, dos, software, version, package, disk
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, murder
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, common, political, countries
Topic 808 (0.00): time, love, smiled, looked, laughed, happy, day, meet, kissed, told
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1239 (0.00): care, social, services, community, health, service, workers, people, assessment, residential
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, educational
Topic 1120 (0.00): phone, telephone, call, voice, calls, rang, ring, time, receiver, line
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, water, brandy
Topic 505 (0.00): friends, friend, life, time, met, found, home, friendship, house, school
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, election
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, house, fine, century, square
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, question, political, concern, policy
Topic 322 (0.00): race, horse, racing, won, jockey, trainer, winner, cup, run, season
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, paintings, exhibition
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, power, centuries, rule, history
Topic 186 (0.00): tax, income, taxes, taxation, rate, revenue, government, budget, vat, cent
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, drama, plays, audience
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, affairs
Topic 1199 (0.00): law, legal, laws, common, courts, act, legislation, rules, criminal, statute
Topic 1186 (0.00): church, catholic, roman, religious, christian, bishops, pope, churches, council, clergy
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, life, people, shot, murdered
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, university, degrees
Topic 920 (0.00): policy, policies, government, political, social, economic, public, governments, implementation, issues
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, soldier, training, captain
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sailing, sail
Topic 930 (0.00): president, bush, house, congress, senate, administration, campaign, republican, white, presidential
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, childhood, school, family
Topic 61 (0.00): differences, structure, features, pattern, patterns, common, similar, structures, individual, variations
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, financial
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 133 (0.00): word, words, recognition, information, system, text, input, lexicon, processing, corpus
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, cent, city
Topic 934 (0.00): diet, food, foods, sugar, fat, eat, fibre, fruit, vegetables, vitamin
Topic 96 (0.00): people, person, life, counselling, counsellor, social, feelings, feel, loss, family
Topic 802 (0.00): press, newspaper, paper, daily, news, newspapers, papers, times, editor, mail
Topic 612 (0.00): women, children, woman, wives, married, family, home, mothers, husbands, employment
Topic 327 (0.00): sea, beach, coast, water, bay, island, sand, shore, tide, boat
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, vessel, crew, coast
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 722 (0.00): fear, feelings, anger, feel, people, life, emotions, feeling, emotional, person
Topic 601 (0.00): view, opinion, views, attitude, expressed, public, opinions, attitudes, majority, people
Topic 1398 (0.00): hotel, beach, bar, pool, bedrooms, breakfast, night, single, private, dinner
Topic 1266 (0.00): money, raised, charity, fund, raise, people, appeal, local, day, funds
Topic 1281 (0.00): form, information, details, date, office, application, required, certificate, copy, address
Topic 483 (0.00): school, children, pupils, schools, teachers, teacher, parents, education, pupil, primary
Topic 200 (0.00): police, night, home, attack, officers, car, house, yesterday, incident, arrested
Topic 70 (0.00): party, labour, national, conference, communist, policy, movement, left, government, parties
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, trading, sales, rose
Topic 823 (0.00): birds, bird, species, wings, nest, feathers, owl, food, fly, owls
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, floor, dirty, hot, bed
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, sir, thatcher
Topic 374 (0.00): army, attack, troops, war, forces, enemy, battle, allied, front, armies
Topic 1430 (0.00): rights, human, amnesty, prisoners, government, international, political, prison, torture, death
Topic 795 (0.00): baby, child, mother, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 881 (0.00): life, experience, spiritual, human, god, love, world, mind, nature, reality
Topic 1195 (0.00): killed, government, police, security, people, army, claimed, attack, attacks, forces
Topic 1197 (0.00): government, democracy, constitution, parliament, constitutional, political, power, people, system, democratic
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, won, tournament, par
Topic 215 (0.00): letter, letters, wrote, write, dear, written, send, received, read, reply
Topic 967 (0.00): staff, department, management, manager, training, service, personnel, senior, job, responsibility
Topic 715 (0.00): people, person, live, lot, lives, world, understand, country, life, talk
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, serve, chopped, salt, heat
Topic 50 (0.00): engine, power, rear, rover, front, fitted, range, speed, steering, fuel
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, detective, time, missing
Topic 877 (0.00): beauty, beautiful, world, mind, life, eyes, joy, love, dream, heart
Topic 74 (0.00): failure, lack, poor, inadequate, failed, result, failures, difficult, reasons, fail
Topic 1059 (0.00): sites, site, roman, evidence, archaeological, buildings, excavation, settlement, found, remains
Topic 243 (0.00): benefit, income, benefits, social, security, allowance, support, people, supplementary, system
Topic 728 (0.00): house, home, live, flat, living, cottage, moved, lived, couple, family
Topic 144 (0.00): poor, poverty, social, people, conditions, living, children, families, unemployment, society
Topic 1423 (0.00): director, chairman, company, executive, chief, appointed, managing, board, manager, business
Topic 1157 (0.00): countries, world, international, development, global, developing, aid, economic, country, nations
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, body, officers, board, appointed
Topic 240 (0.00): desk, office, door, chair, sat, morning, papers, looked, floor, file
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, compared, period
Topic 1264 (0.00): paper, read, written, writing, letter, write, pen, letters, notes, hand
Topic 1166 (0.00): knowledge, experience, understanding, skills, understand, people, ability, technical, learn, skill
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 84 (0.00): range, design, designed, wide, designs, choice, prices, products, quality, sizes
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, months, trials, weeks, treated
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, director, limited, management, act
Topic 130 (0.00): management, managers, manager, people, business, company, profit, job, employees, senior
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, test, results, standard, differences
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, house, private
Topic 1219 (0.00): health, care, services, patients, service, practitioners, practice, authorities, practices, hospital
Topic 859 (0.00): tears, life, pain, death, grief, cry, anger, suffering, crying, feeling
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 156 (0.00): civil, government, service, department, servants, departments, policy, public, ministers, office
Topic 693 (0.00): factors, factor, influence, individual, environment, nature, conditions, degree, level, importance
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, bought, buying, offer
Topic 541 (0.00): countryside, national, conservation, nature, wildlife, environment, environmental, trust, land, natural
Topic 1164 (0.00): conference, held, international, seminar, details, delegates, meeting, institute, university, conferences
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, disease, cardiac, coronary, portal
Topic 1394 (0.00): minister, affairs, cabinet, prime, ministers, foreign, deputy, education, defence, industry
Topic 86 (0.00): colour, red, colours, blue, white, green, yellow, black, light, dark
Topic 439 (0.00): west, people, land, colonial, colonies, century, population, south, trade, peoples
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, customer, people
Topic 403 (0.00): culture, cultural, society, world, western, cultures, values, modern, social, people
Topic 1241 (0.00): strike, union, workers, unions, action, trade, industrial, dispute, strikes, government
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, told, car, waiting, time
Topic 774 (0.00): century, land, local, poor, population, parish, wealth, labourers, rural, towns
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, local, political, nobility
Topic 719 (0.00): people, person, talk, feel, time, talking, listen, listening, feelings, ideas
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, airport, landing, runway
Topic 1043 (0.00): demand, money, rate, supply, curve, real, wage, unemployment, inflation, labour
Topic 1047 (0.00): job, career, jobs, recruitment, training, people, employment, experience, qualifications, employers
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, columns, buildings, stone
Topic 629 (0.00): money, week, pay, day, paid, buy, home, cost, food, job
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, form
Topic 486 (0.00): television, programme, news, radio, programmes, viewers, series, coverage, live, people
Topic 1053 (0.00): science, scientific, scientists, scientist, research, world, knowledge, sciences, natural, theory
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, social, caring
Topic 416 (0.00): gene, expression, genes, sequence, human, sequences, protein, cells, shown, fragment
Topic 680 (0.00): political, power, bureaucracy, elite, government, elites, society, public, institutions, bureaucratic
Topic 1345 (0.00): moral, morality, society, human, ethical, people, ethics, view, principles, values
Topic 310 (0.00): building, floor, roof, space, buildings, main, entrance, ground, windows, built
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 950 (0.00): computer, software, computers, program, programs, machine, data, system, machines, information
Topic 388 (0.00): modules, national, certificate, centres, development, qualifications, courses, assessment, vocational, awards
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, foreign, monetary, pound
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, movie, pictures
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, tonight, country, thousands
Topic 108 (0.00): council, county, local, councillors, town, district, councillor, borough, committee, people
Topic 222 (0.00): god, ghost, fairy, world, story, evil, woman, legend, earth, people
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, written, knowledge, teaching, standard
Topic 1039 (0.00): environmental, pollution, environment, emissions, air, sulphur, dioxide, carbon, acid, rain
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, strings, fender, guitarist
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, events, concert, centre, programme
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, action, adult
Topic 771 (0.00): aids, virus, infection, disease, infected, hepatitis, diseases, people, blood, risk
Topic 314 (0.00): cost, market, marginal, costs, price, firm, firms, output, social, prices
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, courses
Topic 598 (0.00): library, libraries, books, stock, public, book, librarian, collection, librarians, collections
Topic 1107 (0.00): gun, shot, fired, guns, fire, shooting, shots, rifle, hit, shoot
Topic 954 (0.00): purchaser, vendor, sale, business, information, agreement, completion, mas, letter, warranties
Topic 1082 (0.00): cells, minutes, samples, buffer, antibody, solution, serum, added, sections, incubated
Topic 1392 (0.00): growth, rate, productivity, labour, prices, output, increase, cent, investment, capital
Topic 451 (0.00): intelligence, maxim, secret, security, agents, operation, service, information, agent, government
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, writing, character
Topic 414 (0.00): bank, banks, money, market, deposits, bills, discount, rates, assets, financial
Topic 462 (0.00): train, station, railway, platform, trains, car, passengers, line, journey, carriage
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, structure, analysis
Topic 498 (0.00): site, development, planning, council, plans, building, local, land, build, scheme
Topic 1284 (0.00): god, christian, theology, bible, human, testament, religion, history, church, world
Topic 392 (0.00): race, racing, team, world, championship, grand, car, season, driver, formula
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, trade, management, firms
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 250 (0.00): railway, steam, line, locomotive, train, station, trains, class, locomotives, railways
Topic 1396 (0.00): party, congress, communist, committee, central, people, political, democratic, politburo, leadership
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, schizophrenia, psychiatric, physical, psychological, behaviour
Topic 793 (0.00): courses, sessions, day, training, local, contact, information, programme, centre, people
Topic 616 (0.00): soils, surface, erosion, sea, water, rock, sand, weathering, soil, rocks
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, seed, grass, barley, growing
Topic 354 (0.00): political, party, politics, parties, government, system, power, support, politicians, public
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, text, study, writing, studies
Topic 78 (0.00): music, song, singing, songs, sing, playing, played, play, sang, piano
Topic 7 (0.00): approach, strategy, approaches, process, model, strategies, adopted, development, view, based
Topic 1155 (0.00): systems, design, system, development, techniques, expert, computer, analysis, user, engineering
Topic 97 (0.00): experience, consciousness, mental, mind, perception, world, physical, sense, conscious, objects
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, price, brochure, tour, details
Topic 1104 (0.00): education, training, compact, development, enterprise, industry, partnership, employers, students, support
Topic 256 (0.00): courts, decision, court, law, judicial, review, jurisdiction, lord, justice, power
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, power, people
Topic 813 (0.00): knitting, knit, machine, stitches, needles, yarn, rows, stitch, row, pattern
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, defence, prosecution, defendant
Topic 1184 (0.00): town, towns, market, local, centre, country, city, villages, houses, streets
Topic 1276 (0.00): million, cent, total, billion, estimated, cost, half, figures, increase, figure
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, mug, kettle, sat, drink
Topic 1375 (0.00): legs, arms, leg, body, feet, hands, head, left, arm, position
Topic 630 (0.00): assets, profit, accounts, account, accounting, balance, net, company, loss, cost
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, paid, rate, act, inland
Topic 1188 (0.00): street, road, house, lane, park, town, shop, west, square, church
Topic 1170 (0.00): medical, doctors, treatment, doctor, medicine, patients, health, clinical, practice, patient
Topic 1154 (0.00): pope, king, church, papal, archbishop, bishop, royal, bishops, clergy, innocent
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, lake, banks, mud, tide
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, consumption, efficiency, demand
Topic 1204 (0.00): genes, selection, genetic, evolution, gene, natural, generation, species, individual, evolutionary
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, blood, left, ankle
Topic 381 (0.00): museum, centre, visitors, exhibition, history, visit, shop, collection, display, park
Topic 1037 (0.00): community, directive, commission, national, legislation, market, law, article, council, treaty
Topic 1479 (0.00): audit, auditors, institute, companies, accounts, financial, firms, report, accounting, accountants
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 581 (0.00): father, mother, son, family, boy, daughter, child, died, parents, brother
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, plaintiffs, judgment, application
Topic 513 (0.00): species, plants, plant, vegetation, tropical, forest, seeds, trees, animals, found
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, engine, fighter, war
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, accident, cost
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, final, play
Topic 90 (0.00): planning, development, land, local, permission, authorities, authority, town, control, act
Topic 328 (0.00): award, won, awards, prize, competition, awarded, winner, winners, judges, prizes
Topic 681 (0.00): dog, dogs, puppy, pet, owner, rottweiler, owners, bitch, vet, home
Topic 95 (0.00): binding, protein, promoter, transcription, figure, sites, site, proteins, sequence, lanes
Topic 1224 (0.00): history, historical, historians, evidence, sources, past, historian, material, documents, study
Topic 1182 (0.00): car, cars, motor, rover, ford, company, model, manufacturers, production, engine
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, news, station, broadcast, stations
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, reactors, station, plutonium, energy, stations
Topic 396 (0.00): vote, referendum, majority, votes, voted, resolution, assembly, approved, constitutional, constitution
Topic 1309 (0.00): defence, military, forces, army, armed, force, troops, air, staff, ministry
Topic 205 (0.00): car, accident, hospital, crash, killed, died, road, injured, injuries, driver
Topic 153 (0.00): horse, horses, riding, mare, ride, rider, stable, pony, saddle, foal
Topic 1075 (0.00): oil, gas, production, north, sea, exploration, field, offshore, company, companies
Topic 1431 (0.00): nuclear, weapons, arms, soviet, treaty, missiles, defence, military, disarmament, chemical
Topic 275 (0.00): advice, information, local, bureau, service, services, cab, contact, bureaux, office
Topic 1207 (0.00): police, officers, policing, chief, force, crime, constable, policemen, public, officer
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, liable, action, person
Topic 353 (0.00): sex, sexual, women, woman, love, male, female, partner, intercourse, relationship
Topic 247 (0.00): change, changing, process, changed, time, major, altered, affected, result, attitudes
Topic 279 (0.00): parliament, king, church, government, war, country, revolution, parliamentary, civil, reign
Topic 525 (0.00): meeting, committee, meetings, chairman, agreed, attend, report, held, minutes, discussion
