Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, mind, head
Topic 1178 (0.00): cent, recession, inflation, rates, economy, growth, rate, economic, recovery, rise
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, people, table, invited
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 977 (0.00): companies, firms, industry, market, markets, technology, industries, world, investment, competition
Topic 1401 (0.00): management, evaluation, assessment, performance, process, objectives, review, information, development, effectiveness
Topic 996 (0.00): war, time, decline, period, remained, crisis, led, collapse, lost, continued
Topic 423 (0.00): reason, matter, mind, question, surely, understand, doubt, truth, suppose, simply
Topic 290 (0.00): century, nineteenth, eighteenth, late, twentieth, centuries, period, modern, middle, seventeenth
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 815 (0.00): rugby, players, game, world, cup, tour, south, team, international, play
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 789 (0.00): cup, final, win, team, won, league, season, club, victory, championship
Topic 58 (0.00): crowd, people, audience, front, day, stood, standing, applause, stage, crowds
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, faith, heart
Topic 1414 (0.00): time, life, home, people, friends, day, family, enjoy, children, feel
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, composer, playing, recordings, sound
Topic 956 (0.00): army, battle, soldiers, king, horses, horse, miles, enemy, troops, prince
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, chairman, market, takeover
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, justice, held
Topic 1109 (0.00): job, time, life, career, school, months, found, people, decided, started
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, management
Topic 269 (0.00): told, press, allegations, claimed, evidence, statement, public, official, story, claims
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, fans
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, sex, feminists, sexual
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, edge, metal, fit, position
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, shown, protein, response, increased
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 469 (0.00): production, capitalist, class, capitalism, social, capital, society, economic, labour, system
Topic 941 (0.00): house, door, garden, front, gate, windows, wall, window, stone, road
Topic 1201 (0.00): act, section, provisions, person, powers, duty, statutory, subject, provision, persons
Topic 436 (0.00): village, house, church, built, century, manor, houses, building, hall, road
Topic 553 (0.00): mother, daughter, girl, parents, father, family, home, child, told, children
Topic 880 (0.00): husband, wife, woman, married, marriage, children, daughter, life, family, love
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, father, madam, woman, hand
Topic 675 (0.00): proposals, proposed, council, consultation, document, review, proposal, draft, paper, committee
Topic 1302 (0.00): chapter, section, book, discussed, chapters, discussion, analysis, study, detail, main
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, tanks, filtration
Topic 617 (0.00): college, university, oxford, professor, school, students, royal, lecturer, academic, student
Topic 602 (0.00): party, elections, cent, seats, election, vote, won, democratic, parties, candidates
Topic 762 (0.00): research, science, department, university, technology, centre, programme, institute, development, industry
Topic 808 (0.00): time, smiled, love, looked, laughed, meet, told, happy, kissed, tomorrow
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, social, conservatives, thatcher
Topic 21 (0.00): funding, funds, money, grant, support, fund, government, financial, grants, council
Topic 1001 (0.00): world, people, human, country, life, live, society, future, lives, power
Topic 756 (0.00): war, world, military, gulf, country, civil, wars, army, soldiers, wartime
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, societies, relations
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, serum, chronic, intestinal
Topic 1200 (0.00): teachers, schools, teaching, teacher, school, curriculum, education, classroom, development, educational
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, district
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, political, countries, common
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, scandal, alleged, prison, sentenced
Topic 1163 (0.00): windows, program, screen, files, dos, file, software, version, package, text
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, congress, federation
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, champagne, poured
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, increases, rates, change, decline
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, letter, page, journal
Topic 45 (0.00): military, army, coup, government, forces, president, officers, attempt, country, armed
Topic 505 (0.00): friends, friend, life, met, time, found, friendship, home, school, house
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, recommended, evidence, review
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, crown, found, guilty, judge
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, summer, spring, white
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, power, rule, western
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 1108 (0.00): solution, difficult, difficulties, situation, difficulty, future, task, alternative, view, question
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, square, house, century
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, exhibition, paintings, arts
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, receiver, time, line
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, people, life, murdered, shot
Topic 608 (0.00): issues, debate, issue, questions, discussion, political, public, question, concern, agenda
Topic 322 (0.00): race, horse, racing, won, jockey, winner, trainer, cup, run, season
Topic 186 (0.00): tax, income, taxes, taxation, government, rate, revenue, budget, vat, pay
Topic 686 (0.00): major, minister, thatcher, prime, john, party, government, labour, cabinet, election
Topic 1186 (0.00): church, catholic, religious, roman, christian, bishops, pope, churches, clergy, priests
Topic 1199 (0.00): law, legal, laws, act, courts, common, legislation, criminal, rules, statute
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, university
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, drama, actors, plays, audience
Topic 1463 (0.00): army, officer, soldiers, military, regiment, war, officers, soldier, training, captain
Topic 699 (0.00): research, study, social, studies, data, methods, project, researchers, researcher, observation
Topic 920 (0.00): policy, policies, government, political, social, economic, public, governments, implementation, issues
Topic 960 (0.00): boat, deck, water, ship, boats, crew, yacht, sea, sailing, cabin
Topic 930 (0.00): president, bush, house, congress, senate, administration, campaign, republican, white, presidential
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, family
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, cent, migration, people, south
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, teachers
Topic 802 (0.00): press, daily, newspaper, paper, news, newspapers, times, papers, editor, telegraph
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, corpus
Topic 1266 (0.00): money, raised, charity, raise, fund, people, appeal, local, funds, day
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, cut
Topic 722 (0.00): fear, feelings, anger, feel, life, people, emotions, emotional, feeling, love
Topic 96 (0.00): people, person, life, counselling, counsellor, feelings, social, feel, experience, family
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 612 (0.00): women, children, woman, wives, married, home, family, husbands, mothers, domestic
Topic 395 (0.00): ship, ships, sea, fleet, navy, captain, naval, coast, crew, vessel
Topic 823 (0.00): birds, bird, species, wings, nest, feathers, food, fly, owl, breeding
Topic 1398 (0.00): hotel, beach, pool, bar, bedrooms, breakfast, night, dinner, private, single
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, eating
Topic 374 (0.00): army, attack, war, troops, forces, enemy, battle, front, allied, armies
Topic 61 (0.00): differences, features, structure, pattern, similar, common, patterns, variations, structures, individual
Topic 215 (0.00): letter, letters, write, wrote, dear, written, received, hope, read, reply
Topic 881 (0.00): life, experience, spiritual, human, love, god, world, mind, sense, reality
Topic 1281 (0.00): information, form, details, application, office, date, required, certificate, address, send
Topic 327 (0.00): sea, beach, coast, water, sand, bay, shore, island, tide, boat
Topic 601 (0.00): view, opinion, views, attitude, expressed, public, opinions, attitudes, people, matter
Topic 483 (0.00): school, children, pupils, teachers, schools, teacher, parents, education, primary, pupil
Topic 200 (0.00): police, night, home, attack, officers, house, yesterday, street, car, incident
Topic 1195 (0.00): killed, police, government, people, security, attack, attacks, army, claimed, forces
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, trading, sales, rose
Topic 715 (0.00): people, person, live, lot, lives, time, country, understand, talk, life
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, sir, thatcher
Topic 70 (0.00): party, labour, national, communist, conference, left, movement, policy, government, parties
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, floor, bed, bathroom, hot
Topic 877 (0.00): beauty, beautiful, world, mind, life, love, eyes, light, day, dream
Topic 1157 (0.00): countries, world, international, development, global, developing, aid, economic, nations, country
Topic 243 (0.00): benefit, income, benefits, social, security, support, people, allowance, supplementary, system
Topic 1430 (0.00): rights, human, amnesty, prisoners, government, political, international, torture, released, death
Topic 967 (0.00): staff, department, management, manager, senior, personnel, training, service, job, managers
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, democratic, system
Topic 893 (0.00): golf, round, hole, green, shot, play, tour, won, tournament, par
Topic 795 (0.00): baby, child, mother, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, chopped, serve, heat, salt
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, test, standard, significant, results
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, detective, missing, sergeant
Topic 74 (0.00): failure, lack, poor, inadequate, failed, result, failures, reasons, fail, difficult
Topic 50 (0.00): engine, power, rear, rover, front, range, fitted, speed, steering, fuel
Topic 728 (0.00): house, home, live, flat, living, cottage, people, lived, moved, couple
Topic 1059 (0.00): sites, site, evidence, roman, archaeological, buildings, settlement, excavation, found, remains
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, children, unemployment, society
Topic 1166 (0.00): knowledge, understanding, experience, skills, people, ability, understand, technical, skill, learn
Topic 377 (0.00): committee, council, committees, executive, chairman, policy, body, board, representatives, secretary
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 1264 (0.00): paper, read, written, writing, letter, write, pen, notes, letters, hand
Topic 859 (0.00): tears, life, pain, death, grief, cry, anger, time, crying, feeling
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, managing, board, manager, business
Topic 84 (0.00): range, design, designed, wide, choice, designs, prices, sizes, products, price
Topic 130 (0.00): management, managers, manager, people, company, business, profit, job, employees, senior
Topic 1219 (0.00): health, care, services, patients, service, practitioners, practice, authorities, practices, authority
Topic 156 (0.00): civil, government, department, service, servants, departments, public, ministers, policy, office
Topic 382 (0.00): company, companies, directors, business, shareholders, director, limited, corporate, management, liability
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, months, trials, weeks, treated
Topic 240 (0.00): desk, office, door, chair, sat, looked, papers, floor, morning, secretary
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, bought, sold, offer
Topic 1330 (0.00): table, figures, average, total, figure, proportion, statistics, period, percentage, data
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, house, authorities
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, cardiac, acute, disease, coronary
Topic 1394 (0.00): minister, affairs, cabinet, prime, ministers, foreign, education, deputy, industry, defence
Topic 1164 (0.00): conference, held, international, seminar, details, institute, delegates, meeting, university, conferences
Topic 1073 (0.00): peasants, peasant, government, land, peasantry, tsar, reform, political, local, nobility
Topic 693 (0.00): factors, factor, influence, individual, environment, nature, degree, conditions, importance, affect
Topic 86 (0.00): colour, red, blue, colours, white, green, yellow, black, light, dark
Topic 403 (0.00): culture, cultural, society, world, western, cultures, values, modern, life, social
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, airport, landing, feet
Topic 329 (0.00): church, century, cathedral, built, churches, building, nave, buildings, stone, columns
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, people, retail
Topic 774 (0.00): century, land, local, poor, population, parish, wealth, labourers, country, towns
Topic 1241 (0.00): strike, union, workers, unions, action, industrial, dispute, strikes, trade, government
Topic 486 (0.00): television, programme, news, radio, programmes, people, viewers, series, live, coverage
Topic 629 (0.00): money, week, pay, paid, day, buy, job, food, rent, shillings
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, environment, environmental, trust, land, natural
Topic 1231 (0.00): care, people, home, homes, elderly, residential, carers, services, community, caring
Topic 719 (0.00): people, person, talk, feel, talking, listen, listening, time, feelings, ideas
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, flight, waiting, told
Topic 416 (0.00): gene, expression, genes, sequence, sequences, human, protein, cells, shown, figure
Topic 1345 (0.00): moral, society, morality, human, ethical, values, view, people, ethics, principles
Topic 108 (0.00): council, county, local, councillors, town, councillor, district, borough, committee, people
Topic 1039 (0.00): environmental, pollution, environment, emissions, air, dioxide, sulphur, carbon, acid, rain
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, smith, home, country
Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, level, labour, unemployment
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, form
Topic 439 (0.00): colonial, west, colonies, century, people, land, south, trade, population, peoples
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, pictures, industry
Topic 1047 (0.00): job, career, jobs, training, recruitment, experience, people, qualifications, employment, employers
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, food
Topic 680 (0.00): political, power, bureaucracy, elite, government, elites, public, control, institutions, society
Topic 388 (0.00): modules, national, certificate, centres, development, courses, qualifications, assessment, awards, vocational
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, monetary, foreign, countries
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 310 (0.00): building, floor, roof, space, buildings, entrance, main, built, ground, windows
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, playing, strings, guitarist
Topic 451 (0.00): intelligence, maxim, secret, security, agents, information, operation, service, agent, government
Topic 771 (0.00): aids, virus, infection, disease, infected, hepatitis, diseases, blood, people, risk
Topic 314 (0.00): cost, marginal, market, costs, price, firm, firms, output, social, prices
Topic 950 (0.00): computer, software, computers, program, programs, machine, system, machines, systems, data
Topic 1392 (0.00): growth, rate, productivity, prices, output, cent, investment, labour, capital, increase
Topic 954 (0.00): purchaser, vendor, sale, business, information, agreement, completion, mas, warranties, client
Topic 222 (0.00): ghost, god, fairy, story, evil, legend, world, night, earth, king
Topic 1082 (0.00): cells, minutes, samples, buffer, antibody, solution, added, serum, cell, method
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, schizophrenia, psychiatric, loss, physical, behaviour
Topic 1107 (0.00): gun, shot, guns, fired, fire, shooting, firing, rifle, bullets, shoot
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, action, adult
Topic 1055 (0.00): festival, theatre, music, arts, tickets, hall, centre, concert, events, programme
Topic 414 (0.00): bank, banks, money, market, deposits, bills, rates, discount, assets, rate
Topic 250 (0.00): railway, steam, line, train, locomotive, station, trains, class, locomotives, railways
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, knowledge, written, teaching, speak
Topic 1284 (0.00): god, christian, theology, bible, human, testament, history, religion, church, faith
Topic 498 (0.00): site, development, planning, local, plans, building, council, land, scheme, build
Topic 392 (0.00): race, racing, team, championship, world, grand, car, season, driver, formula
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, writing, character
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 598 (0.00): library, libraries, books, stock, public, book, librarian, collection, librarians, information
Topic 1053 (0.00): science, scientific, scientists, scientist, research, knowledge, sciences, natural, world, theory
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, time, price, brochure, details
Topic 910 (0.00): students, university, student, college, education, universities, study, academic, campus, staff
Topic 462 (0.00): train, station, railway, platform, trains, passengers, car, journey, line, carriage
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, paid, inland, rate, act
Topic 793 (0.00): courses, day, sessions, training, information, centre, programme, contact, workshop, people
Topic 78 (0.00): music, song, singing, songs, sing, playing, played, play, sang, piano
Topic 97 (0.00): experience, consciousness, mental, mind, world, perception, physical, sense, conscious, object
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, people, politburo, secretary
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, people, independence, peoples
Topic 1104 (0.00): education, training, compact, development, enterprise, partnership, industry, employers, students, people
Topic 1155 (0.00): systems, design, system, development, computer, expert, engineering, techniques, technology, analysis
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, diocese, vicar, priests, catholic
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, fields, growing
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, firms, trade, management
Topic 7 (0.00): approach, strategy, approaches, process, model, adopted, development, strategies, potential, view
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, defence, prosecution, defendant
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, figures, figure, increase
Topic 630 (0.00): assets, profit, accounts, account, net, accounting, balance, company, loss, cost
Topic 354 (0.00): political, party, politics, parties, government, system, support, power, public, politicians
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, lake, banks, mud, waters
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, ankle, foot, left
Topic 616 (0.00): erosion, sea, soils, water, surface, sand, rock, weathering, soil, lake
Topic 813 (0.00): knitting, knit, machine, stitches, needles, yarn, rows, stitch, row, pattern
Topic 385 (0.00): literature, literary, texts, criticism, cultural, critical, writing, text, study, studies
Topic 1170 (0.00): medical, doctors, treatment, doctor, medicine, patients, health, clinical, practice, patient
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, mug, drink, kettle, sat
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
Topic 256 (0.00): courts, decision, law, court, judicial, review, jurisdiction, lord, justice, power
Topic 1375 (0.00): arms, legs, body, leg, head, feet, left, hands, arm, position
Topic 1154 (0.00): pope, king, church, papal, archbishop, bishop, royal, bishops, clergy, innocent
Topic 1204 (0.00): genes, selection, genetic, evolution, gene, natural, generation, species, population, individual
Topic 1037 (0.00): community, directive, commission, national, legislation, market, article, council, law, treaty
Topic 1188 (0.00): street, road, house, lane, town, park, west, square, shop, green
Topic 381 (0.00): museum, centre, exhibition, visitors, history, visit, shop, collection, display, park
Topic 1479 (0.00): audit, auditors, institute, companies, accounts, financial, firms, report, accountants, accountancy
Topic 1075 (0.00): oil, gas, production, sea, north, exploration, field, offshore, companies, company
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, efficiency, consumption, demand
Topic 581 (0.00): father, mother, son, family, boy, daughter, child, parents, brother, died
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, judgment, plaintiffs, application
Topic 1184 (0.00): town, towns, market, centre, country, local, houses, city, villages, century
Topic 95 (0.00): binding, protein, promoter, sites, transcription, site, figure, sequence, proteins, lanes
Topic 153 (0.00): horse, horses, riding, ride, mare, rider, stable, saddle, pony, foal
Topic 90 (0.00): planning, development, land, local, permission, authorities, control, authority, town, housing
Topic 205 (0.00): accident, car, hospital, killed, crash, road, died, police, injured, injuries
Topic 681 (0.00): dog, dogs, puppy, pet, owner, rottweiler, owners, bitch, vet, home
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, news, broadcast, station, stations
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, liability, policyholder
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, engine, fighter, world
Topic 743 (0.00): tennis, world, players, game, match, player, tournament, champion, court, play
Topic 513 (0.00): species, plants, plant, vegetation, forest, tropical, trees, seeds, found, animals
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, medal
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, liable, action, care
Topic 613 (0.00): north, south, west, east, northern, southern, region, eastern, country, central
Topic 274 (0.00): garden, gardens, plants, gardening, gardener, house, trees, gardeners, planting, lawn
Topic 1496 (0.00): fire, smoke, flames, burning, fires, burn, flame, set, brigade, blaze
Topic 1207 (0.00): police, officers, policing, force, chief, crime, policemen, constable, public, officer
Topic 1182 (0.00): car, cars, motor, rover, ford, company, model, production, manufacturers, market
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, energy, station, plutonium, reactors, stations
Topic 396 (0.00): vote, referendum, majority, votes, voted, resolution, approved, assembly, constitutional, favour
Topic 1431 (0.00): nuclear, weapons, soviet, arms, treaty, defence, missiles, military, disarmament, union
Topic 252 (0.00): term, terms, word, sense, meaning, describe, refer, definition, concept, common
Topic 336 (0.00): training, courses, staff, skills, trainees, programmes, programme, development, management, trained
Topic 1092 (0.00): system, systems, based, control, operation, individual, means, method, basic, developed
Topic 575 (0.00): legal, law, solicitors, solicitor, aid, society, advice, lawyers, profession, services
